# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2630_A/2630_A_cds" "/storage/projects/QUO1015788/2630_A/2630_A.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2630_A/2630_A.sam
PFLU_1030	OV986001.1	1141054	1142080	+	1027	101
PFLU_1031	OV986001.1	1142134	1142395	-	262	94
PFLU_1032	OV986001.1	1142767	1143256	+	490	95
PFLU_1033	OV986001.1	1143252	1143567	-	316	47
PFLU_1034	OV986001.1	1143865	1145152	-	1288	316
PFLU_1035	OV986001.1	1145214	1146591	-	1378	364
PFLU_1036	OV986001.1	1146728	1147676	+	949	101
PFLU_1037	OV986001.1	1147889	1148300	+	412	5038
PFLU_1038	OV986001.1	1148359	1149874	-	1516	18
PFLU_1039	OV986001.1	1149981	1150893	+	913	22
PFLU_1040	OV986001.1	1150997	1153334	-	2338	878
PFLU_1041	OV986001.1	1153425	1154367	-	943	52
PFLU_1042	OV986001.1	1154363	1154861	-	499	28
PFLU_1043	OV986001.1	1154992	1155325	+	334	15
PFLU_1044	OV986001.1	1155321	1156896	+	1576	95
PFLU_1045	OV986001.1	1156896	1157223	+	328	4
PFLU_1046	OV986001.1	1157233	1157809	+	577	39
PFLU_1047	OV986001.1	1157805	1158783	+	979	43
PFLU_1048	OV986001.1	1158783	1159014	-	232	260
PFLU_1049	OV986001.1	1159133	1160138	-	1006	865
PFLU_1050	OV986001.1	1160534	1160816	+	283	14466
PFLU_1051	OV986001.1	1160981	1162001	-	1021	329
PFLU_1052	OV986001.1	1162430	1165277	-	2848	7316
PFLU_1053	OV986001.1	1165574	1165955	-	382	353
PFLU_1054	OV986001.1	1165959	1166388	-	430	1157
PFLU_1055	OV986001.1	1166546	1168037	-	1492	4181
PFLU_1056	OV986001.1	1168321	1169440	+	1120	2486
PFLU_1057	OV986001.1	1169432	1170512	+	1081	2046
PFLU_1058	OV986001.1	1170663	1172463	+	1801	5029
PFLU_1059	OV986001.1	1172468	1173323	+	856	7704
PFLU_1060	OV986001.1	1173469	1174159	+	691	571
PFLU_1061	OV986001.1	1174145	1175054	+	910	1263
PFLU_1062	OV986001.1	1175248	1175938	+	691	29
PFLU_1063	OV986001.1	1175990	1176734	+	745	114
PFLU_1064	OV986001.1	1176993	1178370	+	1378	1457
PFLU_1065	OV986001.1	1178366	1178867	+	502	553
PFLU_1066	OV986001.1	1178947	1179904	-	958	317
PFLU_1067	OV986001.1	1179900	1180644	-	745	280
PFLU_1068	OV986001.1	1180829	1181465	-	637	122
PFLU_1069	OV986001.1	1181466	1181856	-	391	176
PFLU_1070	OV986001.1	1182064	1184485	-	2422	2890
PFLU_1071	OV986001.1	1184643	1185633	-	991	134
PFLU_1072	OV986001.1	1185970	1187293	+	1324	7
PFLU_1073	OV986001.1	1187304	1188183	+	880	50
PFLU_1074	OV986001.1	1188214	1189555	+	1342	49
PFLU_1075	OV986001.1	1189565	1190327	+	763	60
PFLU_1076	OV986001.1	1190463	1191213	+	751	42
PFLU_1077	OV986001.1	1191202	1191508	-	307	8
PFLU_1078	OV986001.1	1191624	1192620	+	997	63
PFLU_1079	OV986001.1	1192616	1193792	+	1177	272
PFLU_1081	OV986001.1	1194337	1196674	+	2338	188
PFLU_1082	OV986001.1	1196884	1197562	+	679	8
PFLU_1083	OV986001.1	1197545	1199894	+	2350	30
PFLU_1084	OV986001.1	1199890	1200763	+	874	4
PFLU_1085	OV986001.1	1200762	1201182	+	421	3
PFLU_1086	OV986001.1	1201236	1203648	-	2413	2542
PFLU_1087	OV986001.1	1204064	1206083	-	2020	19
PFLU_1087A	OV986001.1	1206230	1206464	+	235	23
PFLU_1088	OV986001.1	1206468	1207092	+	625	128
PFLU_1089	OV986001.1	1207093	1207861	-	769	373
PFLU_1090	OV986001.1	1207857	1208379	-	523	496
PFLU_1091	OV986001.1	1208833	1209361	+	529	20
PFLU_1092	OV986001.1	1209412	1209967	+	556	5
PFLU_1093	OV986001.1	1209986	1212581	+	2596	98
PFLU_1094	OV986001.1	1212577	1213339	+	763	29
PFLU_1095	OV986001.1	1213360	1213939	+	580	30
PFLU_1096	OV986001.1	1213931	1214444	+	514	32
PFLU_1097	OV986001.1	1214457	1214937	+	481	15
PFLU_1098	OV986001.1	1214948	1215497	+	550	13
PFLU_1099	OV986001.1	1215628	1216600	+	973	53
PFLU_1100	OV986001.1	1216667	1217633	+	967	196
PFLU_1101	OV986001.1	1217634	1220733	-	3100	255
PFLU_1102	OV986001.1	1220845	1226077	-	5233	68
PFLU_1103	OV986001.1	1226553	1227963	+	1411	1549
PFLU_1104	OV986001.1	1227981	1234494	-	6514	57
PFLU_1105	OV986001.1	1234557	1235751	-	1195	990
PFLU_1107	OV986001.1	1236017	1237637	-	1621	1197
PFLU_1108	OV986001.1	1237821	1238094	+	274	95
PFLU_1109	OV986001.1	1238260	1238539	+	280	155
PFLU_1110	OV986001.1	1238547	1238853	+	307	212
PFLU_1111	OV986001.1	1238943	1240323	-	1381	492
PFLU_1112	OV986001.1	1240319	1242134	-	1816	629
PFLU_1113	OV986001.1	1242144	1243113	-	970	213
PFLU_1114	OV986001.1	1243134	1245018	-	1885	655
PFLU_1115	OV986001.1	1245227	1246553	+	1327	1888
PFLU_1116	OV986001.1	1246549	1246966	+	418	230
PFLU_1117	OV986001.1	1246971	1247478	+	508	188
PFLU_1118	OV986001.1	1247529	1248447	-	919	275
PFLU_1119	OV986001.1	1248535	1254058	-	5524	106
PFLU_1120	OV986001.1	1254244	1255264	+	1021	8
PFLU_1121	OV986001.1	1255319	1255973	+	655	1272
PFLU_1122	OV986001.1	1256158	1257079	+	922	475
PFLU_1123	OV986001.1	1257075	1257456	+	382	81
PFLU_1124	OV986001.1	1257467	1257857	+	391	155
PFLU_1125	OV986001.1	1257925	1258798	-	874	472
PFLU_1126	OV986001.1	1258854	1259667	-	814	591
PFLU_1127	OV986001.1	1259853	1260558	+	706	4044
PFLU_1128	OV986001.1	1260550	1261945	+	1396	14186
PFLU_1129	OV986001.1	1261941	1262841	+	901	9640
PFLU_1130	OV986001.1	1262960	1264085	+	1126	1683
PFLU_1131	OV986001.1	1264084	1265854	+	1771	1727
PFLU_1132	OV986001.1	1265843	1267241	+	1399	507
PFLU_1133	OV986001.1	1267371	1267710	-	340	94
PFLU_1134	OV986001.1	1267709	1269059	-	1351	506
PFLU_1135	OV986001.1	1269055	1270960	-	1906	524
PFLU_1136	OV986001.1	1271188	1271923	-	736	853
PFLU_1137	OV986001.1	1271919	1272591	-	673	703
PFLU_1138	OV986001.1	1272590	1273337	-	748	949
PFLU_1139	OV986001.1	1273532	1274459	-	928	8516
PFLU_1140	OV986001.1	1274763	1276302	-	1540	8389
PFLU_1141	OV986001.1	1276606	1277362	-	757	1814
PFLU_1142	OV986001.1	1277445	1278951	-	1507	8444
PFLU_1143	OV986001.1	1279032	1279890	-	859	1680
PFLU_1144	OV986001.1	1280218	1280689	+	472	767
PFLU_1145	OV986001.1	1280824	1281934	-	1111	738
PFLU_1146	OV986001.1	1281930	1282851	-	922	615
PFLU_1148	OV986001.1	1283284	1285393	+	2110	426
PFLU_1149	OV986001.1	1285470	1285809	+	340	1620
PFLU_1150	OV986001.1	1285888	1286359	-	472	1840
PFLU_1151	OV986001.1	1286560	1286779	-	220	2
PFLU_1152	OV986001.1	1287022	1287625	+	604	15248
PFLU_1153	OV986001.1	1287962	1288634	-	673	870
PFLU_1154	OV986001.1	1288630	1289677	-	1048	2146
PFLU_1155	OV986001.1	1289833	1290742	+	910	44
PFLU_1156	OV986001.1	1290883	1292101	+	1219	3112
PFLU_1157	OV986001.1	1292726	1293359	+	634	64
PFLU_1158	OV986001.1	1293443	1293626	-	184	541
PFLU_1159	OV986001.1	1293733	1294372	-	640	227
PFLU_1160	OV986001.1	1294499	1295663	-	1165	276
PFLU_1161	OV986001.1	1295813	1297865	-	2053	3724
PFLU_1162	OV986001.1	1298037	1299132	+	1096	499
PFLU_1163	OV986001.1	1299626	1299950	-	325	799
PFLU_1164	OV986001.1	1300092	1302684	-	2593	3420
PFLU_1165	OV986001.1	1302853	1303225	-	373	85
PFLU_1166	OV986001.1	1303217	1303712	-	496	1166
PFLU_1167	OV986001.1	1303972	1304707	+	736	1036
PFLU_1169	OV986001.1	1305298	1305643	+	346	48
PFLU_1170	OV986001.1	1305664	1306180	+	517	179
PFLU_1171	OV986001.1	1306240	1306795	+	556	221
PFLU_1172	OV986001.1	1306804	1307137	+	334	114
PFLU_1173	OV986001.1	1307139	1308129	+	991	315
PFLU_1174	OV986001.1	1308125	1308755	+	631	685
PFLU_1175	OV986001.1	1308755	1310732	+	1978	2022
PFLU_1176	OV986001.1	1310728	1311127	+	400	356
PFLU_1177	OV986001.1	1311191	1311404	+	214	606
PFLU_1178	OV986001.1	1311406	1312573	+	1168	1202
PFLU_1179	OV986001.1	1312572	1313079	+	508	533
PFLU_1180	OV986001.1	1313130	1313703	+	574	520
PFLU_1181	OV986001.1	1313699	1313825	+	127	2
PFLU_1182	OV986001.1	1313831	1314983	+	1153	491
PFLU_1183	OV986001.1	1314979	1315366	+	388	52
PFLU_1184	OV986001.1	1315358	1315571	+	214	12
PFLU_1185	OV986001.1	1315580	1316591	+	1012	261
PFLU_1186	OV986001.1	1316609	1317170	+	562	88
PFLU_1187	OV986001.1	1317157	1317658	+	502	85
PFLU_1188	OV986001.1	1317739	1318240	+	502	454
PFLU_1189	OV986001.1	1318324	1319383	+	1060	4191
PFLU_1190	OV986001.1	1319391	1319859	+	469	4444
PFLU_1191	OV986001.1	1320102	1321215	-	1114	1788
PFLU_1192	OV986001.1	1321592	1322021	-	430	228
PFLU_1193	OV986001.1	1322212	1322932	+	721	146
PFLU_1195	OV986001.1	1323185	1323836	+	652	965
PFLU_1196	OV986001.1	1323911	1324274	+	364	155
PFLU_1197	OV986001.1	1324277	1325204	-	928	252
PFLU_1198	OV986001.1	1325329	1326109	+	781	9943
PFLU_1199	OV986001.1	1326171	1326867	-	697	302
PFLU_1200	OV986001.1	1326870	1327332	-	463	188
PFLU_1201	OV986001.1	1327400	1328111	-	712	265
PFLU_1202	OV986001.1	1328213	1328681	-	469	37
PFLU_1203	OV986001.1	1328778	1330119	-	1342	416
PFLU_1204	OV986001.1	1330810	1332712	+	1903	812
PFLU_1205	OV986001.1	1332839	1333946	+	1108	383
PFLU_1206	OV986001.1	1334217	1334403	+	187	8
PFLU_1207	OV986001.1	1334456	1336082	-	1627	1614
PFLU_1208	OV986001.1	1336446	1338309	-	1864	333
PFLU_1209	OV986001.1	1338409	1339834	-	1426	1285
PFLU_1210	OV986001.1	1339941	1340751	-	811	439
PFLU_1211	OV986001.1	1340740	1341670	-	931	357
PFLU_1212	OV986001.1	1341671	1342706	-	1036	196
PFLU_1213	OV986001.1	1342844	1343996	-	1153	1078
PFLU_1214	OV986001.1	1344069	1345527	-	1459	3409
PFLU_1215	OV986001.1	1345659	1346571	-	913	105
PFLU_1216	OV986001.1	1346739	1347450	+	712	364
PFLU_1217	OV986001.1	1347495	1352070	-	4576	306
PFLU_1219	OV986001.1	1352479	1354102	+	1624	1062
PFLU_1220	OV986001.1	1354101	1354614	+	514	308
PFLU_1221	OV986001.1	1354610	1355870	+	1261	587
PFLU_1222	OV986001.1	1355866	1356565	+	700	411
PFLU_1223	OV986001.1	1356561	1358829	+	2269	824
PFLU_1224	OV986001.1	1358825	1359836	+	1012	1330
PFLU_1225	OV986001.1	1359885	1360887	+	1003	586
PFLU_1226	OV986001.1	1361596	1362692	+	1097	2977
PFLU_1228	OV986001.1	1362787	1364290	+	1504	3513
PFLU_1229	OV986001.1	1364408	1365113	+	706	55
PFLU_1230	OV986001.1	1365129	1365678	+	550	327
PFLU_1231	OV986001.1	1365699	1366977	+	1279	892
PFLU_1232	OV986001.1	1366980	1367910	+	931	1406
PFLU_1233	OV986001.1	1367924	1368233	+	310	1511
PFLU_1234	OV986001.1	1368533	1368716	-	184	2
PFLU_1235	OV986001.1	1368928	1369123	+	196	2
PFLU_1236	OV986001.1	1369152	1369938	-	787	10612
PFLU_1237	OV986001.1	1369993	1370440	-	448	10027
PFLU_1238	OV986001.1	1370692	1371037	-	346	1191
PFLU_1239	OV986001.1	1371221	1373849	+	2629	2619
PFLU_1240	OV986001.1	1374129	1374777	+	649	1990
PFLU_1241	OV986001.1	1374866	1375550	+	685	187
PFLU_1243	OV986001.1	1375750	1376041	+	292	114
PFLU_1244	OV986001.1	1376040	1376901	+	862	113
PFLU_1245	OV986001.1	1376928	1377756	+	829	434
PFLU_1246	OV986001.1	1377759	1378458	+	700	85
PFLU_1247	OV986001.1	1378482	1379064	+	583	28
PFLU_1248	OV986001.1	1379178	1379961	+	784	224
PFLU_1249	OV986001.1	1380091	1380727	-	637	80
PFLU_1250	OV986001.1	1380821	1381922	+	1102	103
PFLU_1251	OV986001.1	1381928	1384994	+	3067	515
PFLU_1252	OV986001.1	1385131	1385362	+	232	61
PFLU_1253	OV986001.1	1385429	1386119	-	691	471
PFLU_1254	OV986001.1	1386159	1386579	-	421	353
PFLU_1255	OV986001.1	1386612	1389132	-	2521	896
PFLU_1256	OV986001.1	1389312	1389522	+	211	1092
PFLU_1257	OV986001.1	1389707	1390085	-	379	118
PFLU_1258	OV986001.1	1390139	1390949	-	811	372
PFLU_1259	OV986001.1	1390948	1392100	-	1153	1834
PFLU_1260	OV986001.1	1392337	1394929	-	2593	2000
PFLU_1261	OV986001.1	1395140	1395956	+	817	403
PFLU_1262	OV986001.1	1396072	1396486	-	415	340
PFLU_1263	OV986001.1	1396482	1397697	-	1216	781
PFLU_1264	OV986001.1	1397752	1398787	-	1036	4311
PFLU_1265	OV986001.1	1398819	1399182	-	364	1795
PFLU_1266	OV986001.1	1399343	1401038	+	1696	747
PFLU_1267	OV986001.1	1401053	1402250	-	1198	1112
PFLU_1268	OV986001.1	1402409	1405112	-	2704	3493
PFLU_1269	OV986001.1	1405176	1405959	-	784	1833
PFLU_1270	OV986001.1	1406346	1407084	+	739	27839
PFLU_1271	OV986001.1	1407287	1408151	+	865	18396
PFLU_1272	OV986001.1	1408362	1409106	+	745	2879
PFLU_1273	OV986001.1	1409102	1409660	+	559	3674
PFLU_1274	OV986001.1	1409677	1410433	+	757	3687
PFLU_1275	OV986001.1	1410433	1411240	+	808	1341
PFLU_1276	OV986001.1	1411236	1412427	+	1192	1485
PFLU_1277	OV986001.1	1412480	1413833	+	1354	4823
PFLU_1278	OV986001.1	1413907	1416295	+	2389	14209
PFLU_1279	OV986001.1	1416340	1416844	+	505	2196
PFLU_1280	OV986001.1	1416847	1417903	+	1057	2194
PFLU_1281	OV986001.1	1418014	1418455	+	442	314
PFLU_1282	OV986001.1	1418451	1419228	+	778	985
PFLU_1283	OV986001.1	1419230	1420370	+	1141	1081
PFLU_1284	OV986001.1	1420378	1420999	+	622	208
PFLU_1285	OV986001.1	1421077	1424599	+	3523	4487
PFLU_1286	OV986001.1	1424728	1425676	+	949	2449
PFLU_1287	OV986001.1	1425836	1427159	+	1324	727
PFLU_1289	OV986001.1	1427432	1429064	+	1633	7276
PFLU_1290	OV986001.1	1429069	1429915	+	847	5453
PFLU_1291	OV986001.1	1430072	1431362	+	1291	3892
PFLU_1292	OV986001.1	1431542	1431821	+	280	1215
PFLU_1293	OV986001.1	1431817	1432525	+	709	305
PFLU_1294	OV986001.1	1432645	1433542	-	898	90
PFLU_1295	OV986001.1	1433651	1434764	+	1114	1362
PFLU_1296	OV986001.1	1434772	1435618	+	847	1088
PFLU_1297	OV986001.1	1435672	1436146	+	475	1785
PFLU_1298	OV986001.1	1436142	1437201	+	1060	870
PFLU_1299	OV986001.1	1437188	1437938	+	751	1328
PFLU_1300	OV986001.1	1437979	1438615	+	637	958
PFLU_1301	OV986001.1	1438822	1439659	+	838	5188
PFLU_1302	OV986001.1	1439765	1440770	+	1006	6910
PFLU_1302A	OV986001.1	1440968	1441178	-	211	8946
PFLU_1304	OV986001.1	1441567	1442134	+	568	1006
PFLU_1305	OV986001.1	1442488	1443139	-	652	58
PFLU_1306	OV986001.1	1443138	1445619	-	2482	203
PFLU_1307	OV986001.1	1445676	1446441	-	766	63
PFLU_1308	OV986001.1	1446454	1447573	-	1120	78
PFLU_1309	OV986001.1	1447582	1448293	-	712	75
PFLU_1310	OV986001.1	1448289	1449018	-	730	25
PFLU_1311	OV986001.1	1449075	1449855	-	781	226
PFLU_1312	OV986001.1	1450075	1451710	-	1636	71
PFLU_1313	OV986001.1	1451706	1452711	-	1006	82
PFLU_1314	OV986001.1	1452958	1455400	-	2443	1529
PFLU_1315	OV986001.1	1455570	1456215	-	646	482
PFLU_1317A	OV986001.1	1456681	1456882	-	202	17
PFLU_1318	OV986001.1	1456878	1457361	-	484	140
PFLU_1319	OV986001.1	1457380	1457851	-	472	147
PFLU_1320	OV986001.1	1457855	1458353	-	499	211
PFLU_1321	OV986001.1	1458543	1459239	+	697	142
PFLU_1322	OV986001.1	1459383	1460145	+	763	625
PFLU_1323	OV986001.1	1460246	1460711	-	466	58
PFLU_1324	OV986001.1	1460810	1462955	+	2146	907
PFLU_1325	OV986001.1	1463043	1465341	+	2299	714
PFLU_1326	OV986001.1	1465423	1466569	+	1147	1523
PFLU_1327	OV986001.1	1466712	1467858	+	1147	4205
PFLU_1328	OV986001.1	1467885	1468533	+	649	1378
PFLU_1329	OV986001.1	1468569	1468830	-	262	525
PFLU_1330	OV986001.1	1468987	1469452	+	466	346
PFLU_1332	OV986001.1	1469868	1471044	-	1177	486
PFLU_1333	OV986001.1	1471260	1472355	+	1096	436
PFLU_1334	OV986001.1	1472416	1474030	-	1615	1322
PFLU_1335	OV986001.1	1474137	1474809	-	673	140
PFLU_1336	OV986001.1	1474905	1475505	-	601	89
PFLU_1337	OV986001.1	1475609	1476518	+	910	92
PFLU_1338	OV986001.1	1476514	1477000	-	487	25
PFLU_1339	OV986001.1	1476996	1477773	-	778	31
PFLU_1340	OV986001.1	1477769	1478648	-	880	87
PFLU_1341	OV986001.1	1478671	1478968	-	298	82
PFLU_1342	OV986001.1	1479139	1479841	-	703	1151
PFLU_1343	OV986001.1	1479842	1480610	-	769	740
PFLU_1344	OV986001.1	1480606	1481860	-	1255	1253
PFLU_1345	OV986001.1	1481856	1482780	-	925	859
PFLU_1346	OV986001.1	1483009	1484137	-	1129	12095
PFLU_1347	OV986001.1	1484478	1484781	+	304	277
PFLU_1348	OV986001.1	1485090	1487268	-	2179	35
PFLU_1349	OV986001.1	1487472	1489752	-	2281	467
PFLU_1350	OV986001.1	1489875	1490241	-	367	4
PFLU_1351	OV986001.1	1490493	1491840	+	1348	31
PFLU_1352	OV986001.1	1491959	1494806	-	2848	4844
PFLU_1353	OV986001.1	1495004	1495367	+	364	61
PFLU_1354	OV986001.1	1495363	1496545	-	1183	10
PFLU_1355	OV986001.1	1496541	1497012	-	472	16
PFLU_1356	OV986001.1	1497102	1497969	-	868	63
PFLU_1357	OV986001.1	1498066	1498261	+	196	197
PFLU_1358	OV986001.1	1498404	1498521	+	118	176
PFLU_1359	OV986001.1	1498685	1500161	-	1477	3276
PFLU_1359A	OV986001.1	1500430	1500688	+	259	2
PFLU_1361	OV986001.1	1501239	1502082	+	844	302
PFLU_1362	OV986001.1	1502227	1503568	+	1342	64
PFLU_1363	OV986001.1	1503832	1504690	+	859	172
PFLU_1364	OV986001.1	1504686	1505469	+	784	85
PFLU_1365	OV986001.1	1505468	1506668	+	1201	81
PFLU_1366	OV986001.1	1506685	1507390	+	706	215
PFLU_1367	OV986001.1	1507391	1507958	+	568	106
PFLU_1368	OV986001.1	1508134	1509430	+	1297	826
PFLU_1369	OV986001.1	1509440	1510805	+	1366	422
PFLU_1370	OV986001.1	1510815	1511607	+	793	325
PFLU_1371	OV986001.1	1511662	1512061	+	400	141
PFLU_1372	OV986001.1	1512101	1513055	-	955	46
PFLU_1373	OV986001.1	1513145	1514636	-	1492	27
PFLU_1374	OV986001.1	1514905	1516444	-	1540	31
PFLU_1375	OV986001.1	1516535	1517786	-	1252	72
PFLU_1376	OV986001.1	1517940	1519551	-	1612	1306
PFLU_1377	OV986001.1	1519562	1521260	-	1699	2565
PFLU_1378	OV986001.1	1521411	1522869	-	1459	3193
PFLU_1379	OV986001.1	1522865	1526027	-	3163	7919
PFLU_1380	OV986001.1	1526030	1527176	-	1147	2972
PFLU_1381	OV986001.1	1527462	1528095	+	634	101
PFLU_1382	OV986001.1	1528506	1529877	+	1372	146
PFLU_1383	OV986001.1	1529930	1530428	+	499	33
PFLU_1384	OV986001.1	1530931	1532407	+	1477	944
PFLU_1385	OV986001.1	1532403	1532997	+	595	433
PFLU_1386	OV986001.1	1533142	1533850	+	709	148
PFLU_1387	OV986001.1	1533942	1534998	-	1057	496
PFLU_1388	OV986001.1	1535028	1536195	-	1168	207
PFLU_1389	OV986001.1	1536208	1536535	-	328	80
PFLU_1390	OV986001.1	1536689	1537274	+	586	40
PFLU_1391	OV986001.1	1537386	1538181	-	796	4
PFLU_1392	OV986001.1	1538177	1538933	-	757	13
PFLU_1394	OV986001.1	1539119	1540193	+	1075	15
PFLU_1395	OV986001.1	1540189	1540501	+	313	2
PFLU_1396	OV986001.1	1540680	1542072	+	1393	153
PFLU_1397	OV986001.1	1542194	1542785	+	592	201
PFLU_1398	OV986001.1	1542786	1543944	+	1159	244
PFLU_1399	OV986001.1	1544124	1546416	-	2293	2495
PFLU_1400	OV986001.1	1546640	1547270	+	631	340
PFLU_1401	OV986001.1	1547282	1548017	+	736	458
PFLU_1402	OV986001.1	1548045	1548663	+	619	355
PFLU_1403	OV986001.1	1548878	1550087	+	1210	564
PFLU_1404	OV986001.1	1550128	1551028	-	901	68
PFLU_1405	OV986001.1	1551188	1553753	-	2566	39
PFLU_1406	OV986001.1	1553881	1554850	-	970	76
PFLU_1407	OV986001.1	1554846	1555386	-	541	27
PFLU_1408	OV986001.1	1555534	1556407	-	874	42
PFLU_1409	OV986001.1	1556434	1557217	-	784	6
PFLU_1410	OV986001.1	1557377	1557905	+	529	279
PFLU_1411	OV986001.1	1558022	1559039	-	1018	477
PFLU_1412	OV986001.1	1559164	1560313	+	1150	24629
PFLU_1413	OV986001.1	1560279	1561467	-	1189	134
PFLU_1414	OV986001.1	1561561	1562236	+	676	200
PFLU_1415	OV986001.1	1562235	1563144	+	910	147
PFLU_1416	OV986001.1	1563233	1564427	+	1195	521
PFLU_1417	OV986001.1	1564423	1565365	+	943	135
PFLU_1418	OV986001.1	1565424	1566756	+	1333	88
PFLU_1419	OV986001.1	1566756	1567245	-	490	53
PFLU_1420	OV986001.1	1567332	1568232	+	901	154
PFLU_1421	OV986001.1	1568440	1568851	+	412	80
PFLU_1422	OV986001.1	1568905	1569547	+	643	367
PFLU_1423	OV986001.1	1569624	1570194	+	571	519
PFLU_1424	OV986001.1	1570248	1570674	-	427	156
PFLU_1425	OV986001.1	1570788	1571289	-	502	367
PFLU_1426	OV986001.1	1571377	1571701	-	325	35
PFLU_1427	OV986001.1	1571780	1572191	-	412	205
PFLU_1428	OV986001.1	1572213	1572396	-	184	49
PFLU_1429	OV986001.1	1572564	1573458	-	895	388
PFLU_1430	OV986001.1	1573553	1574717	+	1165	94
PFLU_1431	OV986001.1	1574713	1575907	+	1195	105
PFLU_1432	OV986001.1	1575957	1576263	-	307	47
PFLU_1433	OV986001.1	1576286	1576811	-	526	345
PFLU_1434	OV986001.1	1577233	1578118	-	886	43
PFLU_1435	OV986001.1	1578278	1578410	-	133	8
PFLU_1436	OV986001.1	1578424	1579117	-	694	63
PFLU_1437	OV986001.1	1579116	1579329	-	214	16
PFLU_1438	OV986001.1	1579413	1581036	-	1624	359
PFLU_1439	OV986001.1	1581298	1581658	+	361	70
PFLU_1440	OV986001.1	1581713	1582826	-	1114	2943
PFLU_1441	OV986001.1	1582962	1583655	+	694	763
PFLU_1442	OV986001.1	1583807	1585769	+	1963	374
PFLU_1443	OV986001.1	1586081	1588103	+	2023	335
PFLU_1444	OV986001.1	1588344	1590597	+	2254	229
PFLU_1445	OV986001.1	1591123	1594285	-	3163	177
PFLU_1446	OV986001.1	1594453	1595482	-	1030	66
PFLU_1447	OV986001.1	1595474	1596989	-	1516	184
PFLU_1448	OV986001.1	1596990	1597527	-	538	50
PFLU_1449	OV986001.1	1597578	1598562	-	985	141
PFLU_1450	OV986001.1	1598595	1599888	-	1294	293
PFLU_1451	OV986001.1	1600123	1600795	+	673	89
PFLU_1452	OV986001.1	1600787	1602173	+	1387	308
PFLU_1453	OV986001.1	1602173	1602995	-	823	181
PFLU_1454	OV986001.1	1603031	1603973	-	943	862
PFLU_1455	OV986001.1	1604113	1604368	+	256	596
PFLU_1456	OV986001.1	1604351	1604798	+	448	424
PFLU_1457	OV986001.1	1604766	1604958	-	193	0
PFLU_1458	OV986001.1	1605001	1606444	+	1444	237
PFLU_1459	OV986001.1	1606634	1607057	+	424	56
PFLU_1460	OV986001.1	1607770	1608538	+	769	116
PFLU_1461	OV986001.1	1608534	1608714	+	181	3
PFLU_1462	OV986001.1	1608710	1609001	+	292	13
PFLU_1463	OV986001.1	1609088	1609625	+	538	29
PFLU_1464	OV986001.1	1609663	1610707	+	1045	110
PFLU_1465	OV986001.1	1611237	1612842	-	1606	789
PFLU_1467	OV986001.1	1613306	1613888	+	583	2516
PFLU_1468	OV986001.1	1613920	1614508	+	589	3464
PFLU_1469	OV986001.1	1614523	1615486	+	964	1471
PFLU_1471	OV986001.1	1615720	1617157	+	1438	5233
PFLU_1472	OV986001.1	1617222	1618656	-	1435	1498
PFLU_1473	OV986001.1	1618751	1618991	+	241	81
PFLU_1474	OV986001.1	1619022	1620093	+	1072	260
PFLU_1475	OV986001.1	1620256	1620730	-	475	1671
PFLU_1476	OV986001.1	1620741	1621302	-	562	1356
PFLU_1477	OV986001.1	1621575	1622454	+	880	3979
PFLU_1478	OV986001.1	1622471	1623587	+	1117	4927
PFLU_1479	OV986001.1	1623591	1624350	+	760	1972
PFLU_1480	OV986001.1	1624377	1625091	+	715	4102
PFLU_1481	OV986001.1	1625606	1625858	+	253	26
PFLU_1482	OV986001.1	1626278	1627568	+	1291	1338
PFLU_1483	OV986001.1	1628396	1629623	-	1228	99
PFLU_1484	OV986001.1	1629906	1630161	+	256	60
PFLU_1485	OV986001.1	1630351	1631977	+	1627	22
PFLU_1486	OV986001.1	1632124	1632463	-	340	4
PFLU_1487	OV986001.1	1632736	1633639	+	904	168
PFLU_1488	OV986001.1	1633630	1634389	-	760	303
PFLU_1489	OV986001.1	1634388	1635693	-	1306	722
PFLU_1490	OV986001.1	1635940	1636663	+	724	276
PFLU_1491	OV986001.1	1636659	1637448	+	790	131
PFLU_1492	OV986001.1	1637515	1638448	+	934	62
PFLU_1493	OV986001.1	1638511	1639390	+	880	27
PFLU_1494	OV986001.1	1639427	1640786	+	1360	42
PFLU_1496	OV986001.1	1640796	1642167	+	1372	0
PFLU_1498	OV986001.1	1642427	1643351	+	925	767
PFLU_1499	OV986001.1	1643400	1643763	+	364	131
PFLU_1500	OV986001.1	1643888	1644824	-	937	415
PFLU_1501	OV986001.1	1644961	1646170	-	1210	60
PFLU_1502	OV986001.1	1646352	1647795	-	1444	31
PFLU_1503	OV986001.1	1647791	1649417	-	1627	33
PFLU_1504	OV986001.1	1649529	1650402	+	874	322
PFLU_1505	OV986001.1	1651264	1651879	-	616	234
PFLU_1506	OV986001.1	1651912	1652779	-	868	101
PFLU_1507	OV986001.1	1652883	1653789	+	907	99
PFLU_1508	OV986001.1	1653889	1654066	+	178	282
PFLU_1509	OV986001.1	1654110	1654989	-	880	444
