Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	RefSeq
A0AA35I4G1	unreviewed	A0AA35I4G1_PSEFS	Large-conductance mechanosensitive channel	mscL PFLU_5340	Pseudomonas fluorescens (strain SBW25)	139	WP_015885990.1;
A0AA35I4G4	unreviewed	A0AA35I4G4_PSEFS	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB PFLU_5534	Pseudomonas fluorescens (strain SBW25)	1357	WP_015886138.1;
A0AA35I4R6	unreviewed	A0AA35I4R6_PSEFS	Large ribosomal subunit protein uL30	rpmD PFLU_5509	Pseudomonas fluorescens (strain SBW25)	58	WP_003176408.1;
A0AA35I4S7	unreviewed	A0AA35I4S7_PSEFS	Large ribosomal subunit protein uL2	rplB PFLU_5524	Pseudomonas fluorescens (strain SBW25)	274	WP_003176423.1;
A0AA35I4U8	unreviewed	A0AA35I4U8_PSEFS	3-demethoxyubiquinol 3-hydroxylase (DMQ hydroxylase) (EC 1.14.99.60) (2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase)	coq7 PFLU_5554	Pseudomonas fluorescens (strain SBW25)	215	WP_015886151.1;
A0AA35I4X8	unreviewed	A0AA35I4X8_PSEFS	Coenzyme PQQ synthesis protein B (Pyrroloquinoline quinone biosynthesis protein B)	pqqB PFLU_5599	Pseudomonas fluorescens (strain SBW25)	303	WP_015886194.1;
A0AA35I4Z3	unreviewed	A0AA35I4Z3_PSEFS	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA PFLU_5427	Pseudomonas fluorescens (strain SBW25)	421	WP_015886068.1;
A0AA35I502	unreviewed	A0AA35I502_PSEFS	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)	lgt PFLU_5816	Pseudomonas fluorescens (strain SBW25)	270	WP_015886390.1;
A0AA35I510	unreviewed	A0AA35I510_PSEFS	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB PFLU_5460	Pseudomonas fluorescens (strain SBW25)	80	WP_003176346.1;
A0AA35I530	unreviewed	A0AA35I530_PSEFS	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG PFLU_6119	Pseudomonas fluorescens (strain SBW25)	286	WP_003195829.1;
A0AA35I538	unreviewed	A0AA35I538_PSEFS	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ PFLU_5994	Pseudomonas fluorescens (strain SBW25)	87	WP_003176920.1;
A0AA35I539	unreviewed	A0AA35I539_PSEFS	Membrane protein insertase YidC (Foldase YidC) (Membrane protein YidC) (membrane integrase YidC)	yidC PFLU_6134	Pseudomonas fluorescens (strain SBW25)	560	WP_015886658.1;
A0AA35I540	unreviewed	A0AA35I540_PSEFS	Small ribosomal subunit protein uS13	rpsM PFLU_5505	Pseudomonas fluorescens (strain SBW25)	118	WP_003210063.1;
A0AA35I551	unreviewed	A0AA35I551_PSEFS	Large ribosomal subunit protein uL16	rplP PFLU_5520	Pseudomonas fluorescens (strain SBW25)	137	WP_003176421.1;
A0AA35I560	unreviewed	A0AA35I560_PSEFS	Large ribosomal subunit protein bL12	rplL PFLU_5535	Pseudomonas fluorescens (strain SBW25)	121	WP_003210093.1;
A0AA35I584	unreviewed	A0AA35I584_PSEFS	Tyrosine recombinase XerC	xerC PFLU_5948	Pseudomonas fluorescens (strain SBW25)	299	WP_010207453.1;
A0AA35I592	unreviewed	A0AA35I592_PSEFS	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH PFLU_5580	Pseudomonas fluorescens (strain SBW25)	283	WP_015886177.1;
A0AA35I5E1	unreviewed	A0AA35I5E1_PSEFS	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA PFLU_5862	Pseudomonas fluorescens (strain SBW25)	433	WP_015886427.1;
A0AA35I5I9	unreviewed	A0AA35I5I9_PSEFS	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC PFLU_6117	Pseudomonas fluorescens (strain SBW25)	138	WP_015886644.1;
A0AA35I677	unreviewed	A0AA35I677_PSEFS	GTP cyclohydrolase FolE2 (EC 3.5.4.16)	folE2 PFLU_6088	Pseudomonas fluorescens (strain SBW25)	298	WP_015886615.1;
A0AA35MWL2	unreviewed	A0AA35MWL2_PSEFS	DNA replication and repair protein RecF	recF PFLU_0003	Pseudomonas fluorescens (strain SBW25)	367	WP_012721452.1;
A0AA35MWU5	unreviewed	A0AA35MWU5_PSEFS	Cellulose synthase operon protein C	PFLU_0304	Pseudomonas fluorescens (strain SBW25)	1279	WP_012721725.1;
A0AA35MX16	unreviewed	A0AA35MX16_PSEFS	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt PFLU_0017	Pseudomonas fluorescens (strain SBW25)	317	WP_012721465.1;
A0AA35MX55	unreviewed	A0AA35MX55_PSEFS	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA PFLU_0035	Pseudomonas fluorescens (strain SBW25)	269	WP_012721482.1;
A0AA35MX70	unreviewed	A0AA35MX70_PSEFS	Probable GTP-binding protein EngB	engB PFLU_0080	Pseudomonas fluorescens (strain SBW25)	213	
A0AA35MXA2	unreviewed	A0AA35MXA2_PSEFS	Glucanase (EC 3.2.1.-)	PFLU_0303	Pseudomonas fluorescens (strain SBW25)	398	
A0AA35MXA8	unreviewed	A0AA35MXA8_PSEFS	Peptide chain release factor 3 (RF-3)	prfC PFLU_0816	Pseudomonas fluorescens (strain SBW25)	527	WP_012722183.1;
A0AA35MXC1	unreviewed	A0AA35MXC1_PSEFS	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	gatC PFLU_0862	Pseudomonas fluorescens (strain SBW25)	95	WP_012722223.1;
A0AA35MXE4	unreviewed	A0AA35MXE4_PSEFS	Transcriptional regulator MraZ	mraZ PFLU_0938	Pseudomonas fluorescens (strain SBW25)	151	WP_003171868.1;
A0AA35MXF1	unreviewed	A0AA35MXF1_PSEFS	Histidine ammonia-lyase (Histidase) (EC 4.3.1.3)	hutH PFLU_0367	Pseudomonas fluorescens (strain SBW25)	512	
A0AA35MXH7	unreviewed	A0AA35MXH7_PSEFS	K(+)/H(+) antiporter NhaP2 (Potassium/proton antiporter NhaP2)	nhaP2 PFLU_0446	Pseudomonas fluorescens (strain SBW25)	580	WP_012721847.1;
A0AA35MXI1	unreviewed	A0AA35MXI1_PSEFS	RNA-binding protein Hfq	hfq PFLU_0520	Pseudomonas fluorescens (strain SBW25)	86	WP_003171355.1;
A0AA35MXL7	unreviewed	A0AA35MXL7_PSEFS	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	prmA PFLU_0616	Pseudomonas fluorescens (strain SBW25)	292	WP_010213491.1;
A0AA35MXR4	unreviewed	A0AA35MXR4_PSEFS	Cyclic di-GMP-binding protein (Cellulose synthase regulatory subunit)	PFLU_0302	Pseudomonas fluorescens (strain SBW25)	755	
A0AA35MXS9	unreviewed	A0AA35MXS9_PSEFS	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC PFLU_1480	Pseudomonas fluorescens (strain SBW25)	237	WP_010212191.1;
A0AA35MXU7	unreviewed	A0AA35MXU7_PSEFS	Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)	gatA PFLU_0861	Pseudomonas fluorescens (strain SBW25)	483	WP_012722222.1;
A0AA35MXZ3	unreviewed	A0AA35MXZ3_PSEFS	Alginate lyase (EC 4.2.2.3) (Poly(beta-D-mannuronate) lyase)	algL PFLU_0983	Pseudomonas fluorescens (strain SBW25)	373	
A0AA35MY05	unreviewed	A0AA35MY05_PSEFS	Large ribosomal subunit protein bL9	rplI PFLU_0536	Pseudomonas fluorescens (strain SBW25)	148	WP_003171376.1;
A0AA35MY40	unreviewed	A0AA35MY40_PSEFS	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH PFLU_0939	Pseudomonas fluorescens (strain SBW25)	315	
A0AA35MY42	unreviewed	A0AA35MY42_PSEFS	Large ribosomal subunit protein bL31B	rpmE2 PFLU_1108	Pseudomonas fluorescens (strain SBW25)	90	WP_012722447.1;
A0AA35MY94	unreviewed	A0AA35MY94_PSEFS	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.191)	lpxD PFLU_1280	Pseudomonas fluorescens (strain SBW25)	351	WP_012722602.1;
A0AA35MY96	unreviewed	A0AA35MY96_PSEFS	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD PFLU_1293	Pseudomonas fluorescens (strain SBW25)	235	WP_012722610.1;
A0AA35MYB9	unreviewed	A0AA35MYB9_PSEFS	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	gatB PFLU_0860	Pseudomonas fluorescens (strain SBW25)	481	WP_012722221.1;
A0AA35MYN2	unreviewed	A0AA35MYN2_PSEFS	Sulfur carrier protein TusA	tusA PFLU_1544	Pseudomonas fluorescens (strain SBW25)	83	WP_012722835.1;
A0AA35MYN4	unreviewed	A0AA35MYN4_PSEFS	Elongation factor P (EF-P)	efp PFLU_1714	Pseudomonas fluorescens (strain SBW25)	190	WP_003172723.1;
A0AA35MYP0	unreviewed	A0AA35MYP0_PSEFS	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	htpX PFLU_1730	Pseudomonas fluorescens (strain SBW25)	295	WP_012723005.1;
A0AA35MYR6	unreviewed	A0AA35MYR6_PSEFS	Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)	phnN PFLU_1788	Pseudomonas fluorescens (strain SBW25)	190	WP_012723060.1;
A0AA35MYR9	unreviewed	A0AA35MYR9_PSEFS	Integration host factor subunit beta (IHF-beta)	ihfB himD PFLU_1651	Pseudomonas fluorescens (strain SBW25)	98	WP_003218804.1;
A0AA35MYU6	unreviewed	A0AA35MYU6_PSEFS	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	tpm PFLU_1728	Pseudomonas fluorescens (strain SBW25)	218	WP_012723004.1;
A0AA35MZ30	unreviewed	A0AA35MZ30_PSEFS	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk PFLU_1648	Pseudomonas fluorescens (strain SBW25)	229	WP_012722932.1;
A0AA35MZQ6	unreviewed	A0AA35MZQ6_PSEFS	ATP-dependent Clp protease adapter protein ClpS	clpS PFLU_3806	Pseudomonas fluorescens (strain SBW25)	122	WP_010567912.1;
A0AA35N022	unreviewed	A0AA35N022_PSEFS	Fe/S biogenesis protein NfuA	nfuA PFLU_2664	Pseudomonas fluorescens (strain SBW25)	194	WP_003190728.1;
A0AA35N0G2	unreviewed	A0AA35N0G2_PSEFS	Glutaminase (EC 3.5.1.2)	glsA PFLU_3587	Pseudomonas fluorescens (strain SBW25)	302	
A0AA35N0R4	unreviewed	A0AA35N0R4_PSEFS	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD PFLU_5010	Pseudomonas fluorescens (strain SBW25)	250	
A0AA35N0S8	unreviewed	A0AA35N0S8_PSEFS	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG PFLU_5057	Pseudomonas fluorescens (strain SBW25)	369	WP_015885739.1;
A0AA35N0X0	unreviewed	A0AA35N0X0_PSEFS	Integration host factor subunit alpha (IHF-alpha)	ihfA himA PFLU_4142	Pseudomonas fluorescens (strain SBW25)	100	WP_002553164.1;
A0AA35N0Z3	unreviewed	A0AA35N0Z3_PSEFS	Translation initiation factor IF-2	infB PFLU_5253	Pseudomonas fluorescens (strain SBW25)	841	WP_015885918.1;
A0AA35N139	unreviewed	A0AA35N139_PSEFS	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF PFLU_4188	Pseudomonas fluorescens (strain SBW25)	210	WP_015884969.1;
A0AA35N170	unreviewed	A0AA35N170_PSEFS	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)	PFLU_4459	Pseudomonas fluorescens (strain SBW25)	118	WP_010208721.1;
A0AA35N178	unreviewed	A0AA35N178_PSEFS	Large ribosomal subunit protein uL5	rplE PFLU_5515	Pseudomonas fluorescens (strain SBW25)	179	WP_003176415.1;
A0AA35N183	unreviewed	A0AA35N183_PSEFS	Elongation factor G (EF-G)	fusA PFLU_5530	Pseudomonas fluorescens (strain SBW25)	701	WP_015886136.1;
A0AA35N1B7	unreviewed	A0AA35N1B7_PSEFS	Putative phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	PFLU_4621	Pseudomonas fluorescens (strain SBW25)	272	
A0AA35N1G3	unreviewed	A0AA35N1G3_PSEFS	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt PFLU_4571	Pseudomonas fluorescens (strain SBW25)	182	WP_015885310.1;
A0AA35N1H4	unreviewed	A0AA35N1H4_PSEFS	Large ribosomal subunit protein bL32	rpmF PFLU_4708	Pseudomonas fluorescens (strain SBW25)	60	WP_003179396.1;
A0AA35N1N4	unreviewed	A0AA35N1N4_PSEFS	Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase)	allA PFLU_4362	Pseudomonas fluorescens (strain SBW25)	167	WP_015885126.1;
A0AA35N1P1	unreviewed	A0AA35N1P1_PSEFS	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.39) (4-HB polyprenyltransferase)	ubiA PFLU_6036	Pseudomonas fluorescens (strain SBW25)	296	WP_015886571.1;
A0AA35N1R1	unreviewed	A0AA35N1R1_PSEFS	Flagellar hook-basal body complex protein FliE	fliE PFLU_4440	Pseudomonas fluorescens (strain SBW25)	109	WP_015885194.1;
A0AA35N1S0	unreviewed	A0AA35N1S0_PSEFS	Large ribosomal subunit protein bL19	rplS PFLU_5009	Pseudomonas fluorescens (strain SBW25)	116	WP_003175895.1;
A0AA35N1T6	unreviewed	A0AA35N1T6_PSEFS	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS PFLU_5056	Pseudomonas fluorescens (strain SBW25)	429	WP_015885738.1;
A0AA35N1V5	unreviewed	A0AA35N1V5_PSEFS	Ribosome maturation factor RimM	rimM PFLU_5011	Pseudomonas fluorescens (strain SBW25)	178	WP_015885699.1;
A0AA35N1W5	unreviewed	A0AA35N1W5_PSEFS	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA PFLU_5043	Pseudomonas fluorescens (strain SBW25)	525	WP_015885725.1;
A0AA35N1X4	unreviewed	A0AA35N1X4_PSEFS	Ribosome maturation factor RimP	rimP PFLU_5255	Pseudomonas fluorescens (strain SBW25)	173	
A0AA35N1X9	unreviewed	A0AA35N1X9_PSEFS	Protein GrpE (HSP-70 cofactor)	grpE PFLU_5270	Pseudomonas fluorescens (strain SBW25)	186	WP_015885932.1;
A0AA35N203	unreviewed	A0AA35N203_PSEFS	Ribosome-binding factor A	rbfA PFLU_5252	Pseudomonas fluorescens (strain SBW25)	131	WP_015885917.1;
A0AA35N204	unreviewed	A0AA35N204_PSEFS	Sulfate transporter CysZ	cysZ PFLU_5163	Pseudomonas fluorescens (strain SBW25)	255	WP_015885837.1;
A0AA35N232	unreviewed	A0AA35N232_PSEFS	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH PFLU_5424	Pseudomonas fluorescens (strain SBW25)	155	WP_003176297.1;
A0AA35N241	unreviewed	A0AA35N241_PSEFS	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK PFLU_5269	Pseudomonas fluorescens (strain SBW25)	638	WP_015885931.1;
A0AA35N256	unreviewed	A0AA35N256_PSEFS	Endoribonuclease YbeY (EC 3.1.-.-)	ybeY PFLU_5406	Pseudomonas fluorescens (strain SBW25)	164	WP_015886051.1;
A0AA35N260	unreviewed	A0AA35N260_PSEFS	Large ribosomal subunit protein uL14	rplN PFLU_5517	Pseudomonas fluorescens (strain SBW25)	122	WP_002555479.1;
A0AA35N266	unreviewed	A0AA35N266_PSEFS	Small ribosomal subunit protein uS12	rpsL PFLU_5532	Pseudomonas fluorescens (strain SBW25)	123	WP_002555494.1;
A0AA35N272	unreviewed	A0AA35N272_PSEFS	Iron-sulfur cluster insertion protein ErpA	erpA PFLU_5547	Pseudomonas fluorescens (strain SBW25)	116	WP_003176443.1;
A0AA35N274	unreviewed	A0AA35N274_PSEFS	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB PFLU_5469	Pseudomonas fluorescens (strain SBW25)	166	WP_015886104.1;
A0AA35N2B6	unreviewed	A0AA35N2B6_PSEFS	HTH-type transcriptional regulator BetI	betI PFLU_5684	Pseudomonas fluorescens (strain SBW25)	197	WP_015886274.1;
A0AA35N2B7	unreviewed	A0AA35N2B7_PSEFS	Large ribosomal subunit protein bL17	rplQ PFLU_5501	Pseudomonas fluorescens (strain SBW25)	128	WP_003176402.1;
A0AA35N2C2	unreviewed	A0AA35N2C2_PSEFS	Large ribosomal subunit protein uL24	rplX PFLU_5516	Pseudomonas fluorescens (strain SBW25)	104	WP_003176416.1;
A0AA35N2C7	unreviewed	A0AA35N2C7_PSEFS	Small ribosomal subunit protein uS7	rpsG PFLU_5531	Pseudomonas fluorescens (strain SBW25)	156	WP_002555493.1;
A0AA35N2J1	unreviewed	A0AA35N2J1_PSEFS	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase)	rppH nudH PFLU_5820	Pseudomonas fluorescens (strain SBW25)	159	WP_003176750.1;
A0AA35N2N3	unreviewed	A0AA35N2N3_PSEFS	Iron-sulfur cluster assembly protein CyaY	cyaY PFLU_5943	Pseudomonas fluorescens (strain SBW25)	110	WP_015886499.1;
A0AA35N2S7	unreviewed	A0AA35N2S7_PSEFS	Small ribosomal subunit protein uS8	rpsH PFLU_5513	Pseudomonas fluorescens (strain SBW25)	130	WP_010566853.1;
A0AA35N2T2	unreviewed	A0AA35N2T2_PSEFS	Small ribosomal subunit protein uS10	rpsJ PFLU_5528	Pseudomonas fluorescens (strain SBW25)	103	WP_003186070.1;
A0AA35N2U1	unreviewed	A0AA35N2U1_PSEFS	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC PFLU_5558	Pseudomonas fluorescens (strain SBW25)	278	WP_015886155.1;
A0AA35N2Z1	unreviewed	A0AA35N2Z1_PSEFS	DNA ligase B (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)] B)	ligB PFLU_5711	Pseudomonas fluorescens (strain SBW25)	554	WP_015886299.1;
A0AA35N301	unreviewed	A0AA35N301_PSEFS	Malonate decarboxylase acyl carrier protein (Malonate decarboxylase subunit delta)	mdcC PFLU_5741	Pseudomonas fluorescens (strain SBW25)	99	WP_015886328.1;
A0AA35N3C1	unreviewed	A0AA35N3C1_PSEFS	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)	clsA PFLU_6096	Pseudomonas fluorescens (strain SBW25)	479	
C3JXH2	unreviewed	C3JXH2_PSEFS	UvrABC system protein A (Excinuclease ABC subunit A)	PFLU_3600	Pseudomonas fluorescens (strain SBW25)	839	
C3JXH4	unreviewed	C3JXH4_PSEFS	Error-prone DNA polymerase (EC 2.7.7.7)	dnaE2 PFLU_3602	Pseudomonas fluorescens (strain SBW25)	1030	
C3JXI0	unreviewed	C3JXI0_PSEFS	GDP-mannose pyrophosphatase (GDP-mannose hydrolase) (GDPMK)	PFLU_3608	Pseudomonas fluorescens (strain SBW25)	201	
C3JXI3	unreviewed	C3JXI3_PSEFS	L-lactate dehydrogenase (EC 1.1.2.3)	PFLU_3611	Pseudomonas fluorescens (strain SBW25)	386	WP_012724759.1;
C3JXL1	unreviewed	C3JXL1_PSEFS	Small-conductance mechanosensitive channel	PFLU_3639	Pseudomonas fluorescens (strain SBW25)	481	WP_012724787.1;
C3JXL6	unreviewed	C3JXL6_PSEFS	Bcr/CflA family efflux transporter	PFLU_3644	Pseudomonas fluorescens (strain SBW25)	404	
C3JXM1	unreviewed	C3JXM1_PSEFS	diguanylate cyclase (EC 2.7.7.65)	PFLU_3650	Pseudomonas fluorescens (strain SBW25)	352	WP_012724797.1;
C3JXM5	unreviewed	C3JXM5_PSEFS	histidine kinase (EC 2.7.13.3)	PFLU_3654	Pseudomonas fluorescens (strain SBW25)	439	
C3JXN9	unreviewed	C3JXN9_PSEFS	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	gmd PFLU_3668	Pseudomonas fluorescens (strain SBW25)	373	WP_012724815.1;
C3JXQ7	unreviewed	C3JXQ7_PSEFS	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	udg PFLU_3676	Pseudomonas fluorescens (strain SBW25)	445	WP_012724823.1;
C3JXQ8	unreviewed	C3JXQ8_PSEFS	Tyrosine-protein kinase (EC 2.7.10.1)	PFLU_3677	Pseudomonas fluorescens (strain SBW25)	740	WP_012724824.1;
C3JXQ9	unreviewed	C3JXQ9_PSEFS	protein-tyrosine-phosphatase (EC 3.1.3.48)	PFLU_3678	Pseudomonas fluorescens (strain SBW25)	146	WP_012724825.1;
C3JXR7	unreviewed	C3JXR7_PSEFS	Putative aliphatic sulfonates-binding protein	PFLU_3689	Pseudomonas fluorescens (strain SBW25)	324	WP_012724833.1;
C3JXS2	unreviewed	C3JXS2_PSEFS	Protein TonB	PFLU_3694	Pseudomonas fluorescens (strain SBW25)	257	WP_012724838.1;
C3JXS3	unreviewed	C3JXS3_PSEFS	Tol-Pal system protein TolR	tolR PFLU_3695	Pseudomonas fluorescens (strain SBW25)	148	WP_012724839.1;
C3JXS4	unreviewed	C3JXS4_PSEFS	Tol-Pal system protein TolQ	tolQ PFLU_3696	Pseudomonas fluorescens (strain SBW25)	230	WP_012724840.1;
C3JXS7	unreviewed	C3JXS7_PSEFS	diguanylate cyclase (EC 2.7.7.65)	PFLU_3699	Pseudomonas fluorescens (strain SBW25)	304	WP_012724843.1;
C3JXU6	unreviewed	C3JXU6_PSEFS	Putative aliphatic sulfonates-binding protein	PFLU_3721	Pseudomonas fluorescens (strain SBW25)	312	WP_012724862.1;
C3JXU7	unreviewed	C3JXU7_PSEFS	Putative aliphatic sulfonates-binding protein	PFLU_3722	Pseudomonas fluorescens (strain SBW25)	321	
C3JXV7	unreviewed	C3JXV7_PSEFS	Transaldolase (EC 2.2.1.2)	tal PFLU_3732	Pseudomonas fluorescens (strain SBW25)	307	WP_012724873.1;
C3JXX1	unreviewed	C3JXX1_PSEFS	Agmatinase (EC 3.5.3.11)	PFLU_4510	Pseudomonas fluorescens (strain SBW25)	316	
C3JXX2	unreviewed	C3JXX2_PSEFS	ATP-dependent RNA helicase	PFLU_4526	Pseudomonas fluorescens (strain SBW25)	456	
C3JXX9	unreviewed	C3JXX9_PSEFS	Translational regulator CsrA (Carbon storage regulator)	csrA PFLU_4746	Pseudomonas fluorescens (strain SBW25)	62	WP_003175645.1;
C3JXZ5	unreviewed	C3JXZ5_PSEFS	Histidine/lysine/arginine/ornithine transport system permease protein HisM	PFLU_4763	Pseudomonas fluorescens (strain SBW25)	232	WP_015885480.1;
C3JY00	unreviewed	C3JY00_PSEFS	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1)	PFLU_4768	Pseudomonas fluorescens (strain SBW25)	416	WP_015885485.1;
C3JY34	unreviewed	C3JY34_PSEFS	histidine kinase (EC 2.7.13.3)	PFLU_3777	Pseudomonas fluorescens (strain SBW25)	917	WP_012724914.1;
C3JY50	unreviewed	C3JY50_PSEFS	Sulfurtransferase (EC 2.8.1.-)	PFLU_3793	Pseudomonas fluorescens (strain SBW25)	111	WP_012724929.1;
C3JY56	unreviewed	C3JY56_PSEFS	Replication-associated recombination protein A	PFLU_3799	Pseudomonas fluorescens (strain SBW25)	440	WP_012724935.1;
C3JY58	unreviewed	C3JY58_PSEFS	DNA translocase FtsK	PFLU_3801	Pseudomonas fluorescens (strain SBW25)	802	WP_012724937.1;
C3JY61	unreviewed	C3JY61_PSEFS	Translation initiation factor IF-1	infA PFLU_3804	Pseudomonas fluorescens (strain SBW25)	72	WP_002553999.1;
C3JY62	unreviewed	C3JY62_PSEFS	ATP-dependent Clp protease ATP-binding subunit ClpA	PFLU_3805	Pseudomonas fluorescens (strain SBW25)	756	
C3JY66	unreviewed	C3JY66_PSEFS	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42) (Oxalosuccinate decarboxylase)	PFLU_3809	Pseudomonas fluorescens (strain SBW25)	741	WP_012724943.1;
C3JY67	unreviewed	C3JY67_PSEFS	Phosphatase NudJ (EC 3.6.1.-)	nudJ PFLU_3810	Pseudomonas fluorescens (strain SBW25)	148	WP_012724944.1;
C3JY70	unreviewed	C3JY70_PSEFS	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	PFLU_3813	Pseudomonas fluorescens (strain SBW25)	456	
C3JY74	unreviewed	C3JY74_PSEFS	Isocitrate lyase (EC 4.1.3.1)	PFLU_3817	Pseudomonas fluorescens (strain SBW25)	441	
C3JY84	unreviewed	C3JY84_PSEFS	NADH-quinone oxidoreductase subunit E (NADH dehydrogenase I subunit E) (NDH-1 subunit E)	PFLU_3821	Pseudomonas fluorescens (strain SBW25)	165	
C3JY85	unreviewed	C3JY85_PSEFS	NADH-quinone oxidoreductase subunit F (EC 7.1.1.-)	PFLU_3822	Pseudomonas fluorescens (strain SBW25)	451	
C3JY86	unreviewed	C3JY86_PSEFS	NADH-quinone oxidoreductase (EC 7.1.1.-)	PFLU_3823	Pseudomonas fluorescens (strain SBW25)	904	
C3JY89	unreviewed	C3JY89_PSEFS	NADH-quinone oxidoreductase subunit J (EC 7.1.1.-)	PFLU_3826	Pseudomonas fluorescens (strain SBW25)	167	
C3JY91	unreviewed	C3JY91_PSEFS	NADH-quinone oxidoreductase subunit L (NADH dehydrogenase I subunit L) (NDH-1 subunit L)	PFLU_3828	Pseudomonas fluorescens (strain SBW25)	617	
